sample_id,class,video_path,fps,frame_count,width,height,duration
02057_H_A_N_C2,N/N,../data/train/raw/video/N/N/02057_H_A_N_C2/02057_H_A_N_C2.mp4,10.0,100,1280,720,10.0
02537_H_D_N_C3,N/N,../data/train/raw/video/N/N/02537_H_D_N_C3/02537_H_D_N_C3.mp4,10.0,100,1280,720,10.0
02537_H_D_N_C7,N/N,../data/train/raw/video/N/N/02537_H_D_N_C7/02537_H_D_N_C7.mp4,10.0,100,1280,720,10.0
00725_H_D_N_C1,N/N,../data/train/raw/video/N/N/00725_H_D_N_C1/00725_H_D_N_C1.mp4,10.0,100,1280,720,10.0
00495_H_D_N_C6,N/N,../data/train/raw/video/N/N/00495_H_D_N_C6/00495_H_D_N_C6.mp4,10.0,100,1280,720,10.0
02293_H_A_N_C8,N/N,../data/train/raw/video/N/N/02293_H_A_N_C8/02293_H_A_N_C8.mp4,10.0,100,1280,720,10.0
00486_H_D_N_C4,N/N,../data/train/raw/video/N/N/00486_H_D_N_C4/00486_H_D_N_C4.mp4,10.0,100,1280,720,10.0
00192_H_A_N_C3,N/N,../data/train/raw/video/N/N/00192_H_A_N_C3/00192_H_A_N_C3.mp4,10.0,100,1280,720,10.0
00551_H_D_N_C1,N/N,../data/train/raw/video/N/N/00551_H_D_N_C1/00551_H_D_N_C1.mp4,10.0,100,1280,720,10.0
02599_H_A_N_C8,N/N,../data/train/raw/video/N/N/02599_H_A_N_C8/02599_H_A_N_C8.mp4,10.0,100,1280,720,10.0
00144_H_A_N_C6,N/N,../data/train/raw/video/N/N/00144_H_A_N_C6/00144_H_A_N_C6.mp4,10.0,100,1280,720,10.0
02501_H_A_N_C7,N/N,../data/train/raw/video/N/N/02501_H_A_N_C7/02501_H_A_N_C7.mp4,10.0,100,1280,720,10.0
00586_H_D_N_C3,N/N,../data/train/raw/video/N/N/00586_H_D_N_C3/00586_H_D_N_C3.mp4,10.0,100,1280,720,10.0
00434_H_A_N_C2,N/N,../data/train/raw/video/N/N/00434_H_A_N_C2/00434_H_A_N_C2.mp4,10.0,100,1280,720,10.0
00725_H_D_N_C3,N/N,../data/train/raw/video/N/N/00725_H_D_N_C3/00725_H_D_N_C3.mp4,10.0,100,1280,720,10.0
02522_H_A_N_C7,N/N,../data/train/raw/video/N/N/02522_H_A_N_C7/02522_H_A_N_C7.mp4,10.0,100,1280,720,10.0
00470_H_A_N_C5,N/N,../data/train/raw/video/N/N/00470_H_A_N_C5/00470_H_A_N_C5.mp4,10.0,100,1280,720,10.0
00694_H_D_N_C6,N/N,../data/train/raw/video/N/N/00694_H_D_N_C6/00694_H_D_N_C6.mp4,10.0,100,1280,720,10.0
02460_H_A_N_C7,N/N,../data/train/raw/video/N/N/02460_H_A_N_C7/02460_H_A_N_C7.mp4,10.0,100,1280,720,10.0
02557_H_D_N_C4,N/N,../data/train/raw/video/N/N/02557_H_D_N_C4/02557_H_D_N_C4.mp4,10.0,100,1280,720,10.0
02053_H_A_N_C3,N/N,../data/train/raw/video/N/N/02053_H_A_N_C3/02053_H_A_N_C3.mp4,10.0,100,1280,720,10.0
00314_H_A_N_C8,N/N,../data/train/raw/video/N/N/00314_H_A_N_C8/00314_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02414_H_A_N_C8,N/N,../data/train/raw/video/N/N/02414_H_A_N_C8/02414_H_A_N_C8.mp4,10.0,100,1280,720,10.0
00013_H_A_N_C2,N/N,../data/train/raw/video/N/N/00013_H_A_N_C2/00013_H_A_N_C2.mp4,10.0,100,1280,720,10.0
00256_H_D_N_C6,N/N,../data/train/raw/video/N/N/00256_H_D_N_C6/00256_H_D_N_C6.mp4,10.0,100,1280,720,10.0
02003_H_A_N_C5,N/N,../data/train/raw/video/N/N/02003_H_A_N_C5/02003_H_A_N_C5.mp4,10.0,100,1280,720,10.0
02497_H_A_N_C6,N/N,../data/train/raw/video/N/N/02497_H_A_N_C6/02497_H_A_N_C6.mp4,10.0,100,1280,720,10.0
00612_H_D_N_C1,N/N,../data/train/raw/video/N/N/00612_H_D_N_C1/00612_H_D_N_C1.mp4,10.0,100,1280,720,10.0
00057_H_A_N_C4,N/N,../data/train/raw/video/N/N/00057_H_A_N_C4/00057_H_A_N_C4.mp4,10.0,100,1280,720,10.0
02522_H_A_N_C3,N/N,../data/train/raw/video/N/N/02522_H_A_N_C3/02522_H_A_N_C3.mp4,10.0,100,1280,720,10.0
00224_H_D_N_C7,N/N,../data/train/raw/video/N/N/00224_H_D_N_C7/00224_H_D_N_C7.mp4,10.0,100,1280,720,10.0
00694_H_D_N_C8,N/N,../data/train/raw/video/N/N/00694_H_D_N_C8/00694_H_D_N_C8.mp4,10.0,100,1280,720,10.0
00016_H_A_N_C7,N/N,../data/train/raw/video/N/N/00016_H_A_N_C7/00016_H_A_N_C7.mp4,10.0,100,1280,720,10.0
02274_H_A_N_C5,N/N,../data/train/raw/video/N/N/02274_H_A_N_C5/02274_H_A_N_C5.mp4,10.0,100,1280,720,10.0
02025_H_A_N_C2,N/N,../data/train/raw/video/N/N/02025_H_A_N_C2/02025_H_A_N_C2.mp4,10.0,100,1280,720,10.0
02060_H_A_N_C8,N/N,../data/train/raw/video/N/N/02060_H_A_N_C8/02060_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02034_H_A_N_C1,N/N,../data/train/raw/video/N/N/02034_H_A_N_C1/02034_H_A_N_C1.mp4,10.0,100,1280,720,10.0
02302_H_A_N_C2,N/N,../data/train/raw/video/N/N/02302_H_A_N_C2/02302_H_A_N_C2.mp4,10.0,100,1280,720,10.0
02197_H_A_N_C5,N/N,../data/train/raw/video/N/N/02197_H_A_N_C5/02197_H_A_N_C5.mp4,10.0,100,1280,720,10.0
00565_H_D_N_C8,N/N,../data/train/raw/video/N/N/00565_H_D_N_C8/00565_H_D_N_C8.mp4,10.0,100,1280,720,10.0
02109_H_A_N_C5,N/N,../data/train/raw/video/N/N/02109_H_A_N_C5/02109_H_A_N_C5.mp4,10.0,100,1280,720,10.0
00002_H_A_N_C2,N/N,../data/train/raw/video/N/N/00002_H_A_N_C2/00002_H_A_N_C2.mp4,10.0,100,1280,720,10.0
00590_H_D_N_C5,N/N,../data/train/raw/video/N/N/00590_H_D_N_C5/00590_H_D_N_C5.mp4,10.0,100,1280,720,10.0
00268_H_D_N_C8,N/N,../data/train/raw/video/N/N/00268_H_D_N_C8/00268_H_D_N_C8.mp4,10.0,100,1280,720,10.0
00306_H_A_N_C8,N/N,../data/train/raw/video/N/N/00306_H_A_N_C8/00306_H_A_N_C8.mp4,10.0,100,1280,720,10.0
00300_H_A_N_C7,N/N,../data/train/raw/video/N/N/00300_H_A_N_C7/00300_H_A_N_C7.mp4,10.0,100,1280,720,10.0
00470_H_A_N_C2,N/N,../data/train/raw/video/N/N/00470_H_A_N_C2/00470_H_A_N_C2.mp4,10.0,100,1280,720,10.0
00345_H_A_N_C6,N/N,../data/train/raw/video/N/N/00345_H_A_N_C6/00345_H_A_N_C6.mp4,10.0,100,1280,720,10.0
02616_H_A_N_C1,N/N,../data/train/raw/video/N/N/02616_H_A_N_C1/02616_H_A_N_C1.mp4,10.0,100,1280,720,10.0
02384_H_A_N_C8,N/N,../data/train/raw/video/N/N/02384_H_A_N_C8/02384_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02612_H_A_N_C7,N/N,../data/train/raw/video/N/N/02612_H_A_N_C7/02612_H_A_N_C7.mp4,10.0,100,1280,720,10.0
00537_H_D_N_C2,N/N,../data/train/raw/video/N/N/00537_H_D_N_C2/00537_H_D_N_C2.mp4,10.0,100,1280,720,10.0
00046_H_A_N_C1,N/N,../data/train/raw/video/N/N/00046_H_A_N_C1/00046_H_A_N_C1.mp4,10.0,100,1280,720,10.0
02089_H_A_N_C2,N/N,../data/train/raw/video/N/N/02089_H_A_N_C2/02089_H_A_N_C2.mp4,10.0,100,1280,720,10.0
00310_H_A_N_C4,N/N,../data/train/raw/video/N/N/00310_H_A_N_C4/00310_H_A_N_C4.mp4,10.0,100,1280,720,10.0
00560_H_D_N_C8,N/N,../data/train/raw/video/N/N/00560_H_D_N_C8/00560_H_D_N_C8.mp4,10.0,100,1280,720,10.0
00208_H_D_N_C7,N/N,../data/train/raw/video/N/N/00208_H_D_N_C7/00208_H_D_N_C7.mp4,10.0,100,1280,720,10.0
00565_H_D_N_C6,N/N,../data/train/raw/video/N/N/00565_H_D_N_C6/00565_H_D_N_C6.mp4,10.0,100,1280,720,10.0
00188_H_A_N_C8,N/N,../data/train/raw/video/N/N/00188_H_A_N_C8/00188_H_A_N_C8.mp4,10.0,100,1280,720,10.0
00533_H_D_N_C4,N/N,../data/train/raw/video/N/N/00533_H_D_N_C4/00533_H_D_N_C4.mp4,10.0,100,1280,720,10.0
00542_H_D_N_C7,N/N,../data/train/raw/video/N/N/00542_H_D_N_C7/00542_H_D_N_C7.mp4,10.0,100,1280,720,10.0
00043_H_A_N_C1,N/N,../data/train/raw/video/N/N/00043_H_A_N_C1/00043_H_A_N_C1.mp4,10.0,100,1280,720,10.0
00040_H_A_N_C3,N/N,../data/train/raw/video/N/N/00040_H_A_N_C3/00040_H_A_N_C3.mp4,10.0,100,1280,720,10.0
02057_H_A_N_C4,N/N,../data/train/raw/video/N/N/02057_H_A_N_C4/02057_H_A_N_C4.mp4,10.0,100,1280,720,10.0
01991_H_A_N_C8,N/N,../data/train/raw/video/N/N/01991_H_A_N_C8/01991_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02448_H_A_N_C5,N/N,../data/train/raw/video/N/N/02448_H_A_N_C5/02448_H_A_N_C5.mp4,10.0,100,1280,720,10.0
02065_H_A_N_C4,N/N,../data/train/raw/video/N/N/02065_H_A_N_C4/02065_H_A_N_C4.mp4,10.0,100,1280,720,10.0
02356_H_A_N_C3,N/N,../data/train/raw/video/N/N/02356_H_A_N_C3/02356_H_A_N_C3.mp4,10.0,100,1280,720,10.0
02356_H_A_N_C6,N/N,../data/train/raw/video/N/N/02356_H_A_N_C6/02356_H_A_N_C6.mp4,10.0,100,1280,720,10.0
02105_H_A_N_C6,N/N,../data/train/raw/video/N/N/02105_H_A_N_C6/02105_H_A_N_C6.mp4,10.0,100,1280,720,10.0
02065_H_A_N_C1,N/N,../data/train/raw/video/N/N/02065_H_A_N_C1/02065_H_A_N_C1.mp4,10.0,100,1280,720,10.0
02620_H_A_N_C3,N/N,../data/train/raw/video/N/N/02620_H_A_N_C3/02620_H_A_N_C3.mp4,10.0,100,1280,720,10.0
02494_H_A_N_C8,N/N,../data/train/raw/video/N/N/02494_H_A_N_C8/02494_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02045_H_A_N_C4,N/N,../data/train/raw/video/N/N/02045_H_A_N_C4/02045_H_A_N_C4.mp4,10.0,100,1280,720,10.0
00454_H_A_N_C1,N/N,../data/train/raw/video/N/N/00454_H_A_N_C1/00454_H_A_N_C1.mp4,10.0,100,1280,720,10.0
02319_H_A_N_C5,N/N,../data/train/raw/video/N/N/02319_H_A_N_C5/02319_H_A_N_C5.mp4,10.0,100,1280,720,10.0
02335_H_A_N_C7,N/N,../data/train/raw/video/N/N/02335_H_A_N_C7/02335_H_A_N_C7.mp4,10.0,100,1280,720,10.0
00509_H_D_N_C1,N/N,../data/train/raw/video/N/N/00509_H_D_N_C1/00509_H_D_N_C1.mp4,10.0,100,1280,720,10.0
00264_H_D_N_C3,N/N,../data/train/raw/video/N/N/00264_H_D_N_C3/00264_H_D_N_C3.mp4,10.0,100,1280,720,10.0
02592_H_A_N_C2,N/N,../data/train/raw/video/N/N/02592_H_A_N_C2/02592_H_A_N_C2.mp4,10.0,100,1280,720,10.0
02037_H_A_N_C8,N/N,../data/train/raw/video/N/N/02037_H_A_N_C8/02037_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02331_H_A_N_C6,N/N,../data/train/raw/video/N/N/02331_H_A_N_C6/02331_H_A_N_C6.mp4,10.0,100,1280,720,10.0
00039_H_A_N_C6,N/N,../data/train/raw/video/N/N/00039_H_A_N_C6/00039_H_A_N_C6.mp4,10.0,100,1280,720,10.0
02193_H_A_N_C6,N/N,../data/train/raw/video/N/N/02193_H_A_N_C6/02193_H_A_N_C6.mp4,10.0,100,1280,720,10.0
00052_H_A_N_C2,N/N,../data/train/raw/video/N/N/00052_H_A_N_C2/00052_H_A_N_C2.mp4,10.0,100,1280,720,10.0
00020_H_A_N_C4,N/N,../data/train/raw/video/N/N/00020_H_A_N_C4/00020_H_A_N_C4.mp4,10.0,100,1280,720,10.0
02436_H_A_N_C5,N/N,../data/train/raw/video/N/N/02436_H_A_N_C5/02436_H_A_N_C5.mp4,10.0,100,1280,720,10.0
00490_H_D_N_C3,N/N,../data/train/raw/video/N/N/00490_H_D_N_C3/00490_H_D_N_C3.mp4,10.0,100,1280,720,10.0
00470_H_A_N_C6,N/N,../data/train/raw/video/N/N/00470_H_A_N_C6/00470_H_A_N_C6.mp4,10.0,100,1280,720,10.0
00292_H_A_N_C4,N/N,../data/train/raw/video/N/N/00292_H_A_N_C4/00292_H_A_N_C4.mp4,10.0,100,1280,720,10.0
02446_H_A_N_C4,N/N,../data/train/raw/video/N/N/02446_H_A_N_C4/02446_H_A_N_C4.mp4,10.0,100,1280,720,10.0
00346_H_A_N_C6,N/N,../data/train/raw/video/N/N/00346_H_A_N_C6/00346_H_A_N_C6.mp4,10.0,100,1280,720,10.0
00035_H_A_N_C5,N/N,../data/train/raw/video/N/N/00035_H_A_N_C5/00035_H_A_N_C5.mp4,10.0,100,1280,720,10.0
00306_H_A_N_C7,N/N,../data/train/raw/video/N/N/00306_H_A_N_C7/00306_H_A_N_C7.mp4,10.0,100,1280,720,10.0
00703_H_D_N_C1,N/N,../data/train/raw/video/N/N/00703_H_D_N_C1/00703_H_D_N_C1.mp4,10.0,100,1280,720,10.0
00334_H_A_N_C4,N/N,../data/train/raw/video/N/N/00334_H_A_N_C4/00334_H_A_N_C4.mp4,10.0,100,1280,720,10.0
00600_H_D_N_C4,N/N,../data/train/raw/video/N/N/00600_H_D_N_C4/00600_H_D_N_C4.mp4,10.0,100,1280,720,10.0
02509_H_A_N_C3,N/N,../data/train/raw/video/N/N/02509_H_A_N_C3/02509_H_A_N_C3.mp4,10.0,100,1280,720,10.0
00618_H_D_N_C1,N/N,../data/train/raw/video/N/N/00618_H_D_N_C1/00618_H_D_N_C1.mp4,10.0,100,1280,720,10.0
00069_H_D_N_C6,N/N,../data/train/raw/video/N/N/00069_H_D_N_C6/00069_H_D_N_C6.mp4,10.0,100,1280,720,10.0
02117_H_A_N_C3,N/N,../data/train/raw/video/N/N/02117_H_A_N_C3/02117_H_A_N_C3.mp4,10.0,100,1280,720,10.0
02501_H_A_N_C8,N/N,../data/train/raw/video/N/N/02501_H_A_N_C8/02501_H_A_N_C8.mp4,10.0,100,1280,720,10.0
00284_H_A_N_C8,N/N,../data/train/raw/video/N/N/00284_H_A_N_C8/00284_H_A_N_C8.mp4,10.0,100,1280,720,10.0
00454_H_A_N_C5,N/N,../data/train/raw/video/N/N/00454_H_A_N_C5/00454_H_A_N_C5.mp4,10.0,100,1280,720,10.0
02069_H_A_N_C6,N/N,../data/train/raw/video/N/N/02069_H_A_N_C6/02069_H_A_N_C6.mp4,10.0,100,1280,720,10.0
00734_H_D_N_C7,N/N,../data/train/raw/video/N/N/00734_H_D_N_C7/00734_H_D_N_C7.mp4,10.0,100,1280,720,10.0
00172_H_A_N_C4,N/N,../data/train/raw/video/N/N/00172_H_A_N_C4/00172_H_A_N_C4.mp4,10.0,231,1280,720,23.1
00612_H_D_N_C5,N/N,../data/train/raw/video/N/N/00612_H_D_N_C5/00612_H_D_N_C5.mp4,10.0,100,1280,720,10.0
02517_H_A_N_C7,N/N,../data/train/raw/video/N/N/02517_H_A_N_C7/02517_H_A_N_C7.mp4,10.0,100,1280,720,10.0
02117_H_A_N_C2,N/N,../data/train/raw/video/N/N/02117_H_A_N_C2/02117_H_A_N_C2.mp4,10.0,100,1280,720,10.0
00300_H_A_N_C3,N/N,../data/train/raw/video/N/N/00300_H_A_N_C3/00300_H_A_N_C3.mp4,10.0,100,1280,720,10.0
02600_H_A_N_C5,N/N,../data/train/raw/video/N/N/02600_H_A_N_C5/02600_H_A_N_C5.mp4,10.0,100,1280,720,10.0
02335_H_A_N_C8,N/N,../data/train/raw/video/N/N/02335_H_A_N_C8/02335_H_A_N_C8.mp4,10.0,100,1280,720,10.0
00725_H_D_N_C8,N/N,../data/train/raw/video/N/N/00725_H_D_N_C8/00725_H_D_N_C8.mp4,10.0,100,1280,720,10.0
00322_H_A_N_C1,N/N,../data/train/raw/video/N/N/00322_H_A_N_C1/00322_H_A_N_C1.mp4,10.0,100,1280,720,10.0
00121_H_A_N_C8,N/N,../data/train/raw/video/N/N/00121_H_A_N_C8/00121_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02335_H_A_N_C5,N/N,../data/train/raw/video/N/N/02335_H_A_N_C5/02335_H_A_N_C5.mp4,10.0,100,1280,720,10.0
00573_H_D_N_C7,N/N,../data/train/raw/video/N/N/00573_H_D_N_C7/00573_H_D_N_C7.mp4,10.0,100,1280,720,10.0
00678_H_D_N_C7,N/N,../data/train/raw/video/N/N/00678_H_D_N_C7/00678_H_D_N_C7.mp4,10.0,100,1280,720,10.0
00434_H_A_N_C8,N/N,../data/train/raw/video/N/N/00434_H_A_N_C8/00434_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02201_H_A_N_C1,N/N,../data/train/raw/video/N/N/02201_H_A_N_C1/02201_H_A_N_C1.mp4,10.0,100,1280,720,10.0
00129_H_A_N_C6,N/N,../data/train/raw/video/N/N/00129_H_A_N_C6/00129_H_A_N_C6.mp4,10.0,100,1280,720,10.0
02553_H_D_N_C7,N/N,../data/train/raw/video/N/N/02553_H_D_N_C7/02553_H_D_N_C7.mp4,10.0,100,1280,720,10.0
02356_H_A_N_C2,N/N,../data/train/raw/video/N/N/02356_H_A_N_C2/02356_H_A_N_C2.mp4,10.0,100,1280,720,10.0
02619_H_A_N_C8,N/N,../data/train/raw/video/N/N/02619_H_A_N_C8/02619_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02624_H_A_N_C6,N/N,../data/train/raw/video/N/N/02624_H_A_N_C6/02624_H_A_N_C6.mp4,10.0,100,1280,720,10.0
00690_H_D_N_C1,N/N,../data/train/raw/video/N/N/00690_H_D_N_C1/00690_H_D_N_C1.mp4,10.0,100,1280,720,10.0
02596_H_A_N_C6,N/N,../data/train/raw/video/N/N/02596_H_A_N_C6/02596_H_A_N_C6.mp4,10.0,100,1280,720,10.0
00196_H_A_N_C2,N/N,../data/train/raw/video/N/N/00196_H_A_N_C2/00196_H_A_N_C2.mp4,10.0,100,1280,720,10.0
02153_H_A_N_C8,N/N,../data/train/raw/video/N/N/02153_H_A_N_C8/02153_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02527_H_A_N_C7,N/N,../data/train/raw/video/N/N/02527_H_A_N_C7/02527_H_A_N_C7.mp4,10.0,100,1280,720,10.0
00077_H_A_N_C5,N/N,../data/train/raw/video/N/N/00077_H_A_N_C5/00077_H_A_N_C5.mp4,10.0,100,1280,720,10.0
00559_H_D_N_C6,N/N,../data/train/raw/video/N/N/00559_H_D_N_C6/00559_H_D_N_C6.mp4,10.0,100,1280,720,10.0
00232_H_D_N_C7,N/N,../data/train/raw/video/N/N/00232_H_D_N_C7/00232_H_D_N_C7.mp4,10.0,100,1280,720,10.0
02596_H_A_N_C7,N/N,../data/train/raw/video/N/N/02596_H_A_N_C7/02596_H_A_N_C7.mp4,10.0,100,1280,720,10.0
02384_H_A_N_C5,N/N,../data/train/raw/video/N/N/02384_H_A_N_C5/02384_H_A_N_C5.mp4,10.0,100,1280,720,10.0
02364_H_A_N_C3,N/N,../data/train/raw/video/N/N/02364_H_A_N_C3/02364_H_A_N_C3.mp4,10.0,100,1280,720,10.0
00019_H_A_N_C8,N/N,../data/train/raw/video/N/N/00019_H_A_N_C8/00019_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02384_H_A_N_C2,N/N,../data/train/raw/video/N/N/02384_H_A_N_C2/02384_H_A_N_C2.mp4,10.0,100,1280,720,10.0
02549_H_D_N_C4,N/N,../data/train/raw/video/N/N/02549_H_D_N_C4/02549_H_D_N_C4.mp4,10.0,100,1280,720,10.0
00240_H_D_N_C3,N/N,../data/train/raw/video/N/N/00240_H_D_N_C3/00240_H_D_N_C3.mp4,10.0,100,1280,720,10.0
00346_H_A_N_C5,N/N,../data/train/raw/video/N/N/00346_H_A_N_C5/00346_H_A_N_C5.mp4,10.0,100,1280,720,10.0
00537_H_D_N_C8,N/N,../data/train/raw/video/N/N/00537_H_D_N_C8/00537_H_D_N_C8.mp4,10.0,100,1280,720,10.0
02380_H_A_N_C7,N/N,../data/train/raw/video/N/N/02380_H_A_N_C7/02380_H_A_N_C7.mp4,10.0,100,1280,720,10.0
02045_H_A_N_C7,N/N,../data/train/raw/video/N/N/02045_H_A_N_C7/02045_H_A_N_C7.mp4,10.0,100,1280,720,10.0
00040_H_A_N_C8,N/N,../data/train/raw/video/N/N/00040_H_A_N_C8/00040_H_A_N_C8.mp4,10.0,100,1280,720,10.0
02053_H_A_N_C6,N/N,../data/train/raw/video/N/N/02053_H_A_N_C6/02053_H_A_N_C6.mp4,10.0,100,1280,720,10.0
02073_H_A_N_C6,N/N,../data/train/raw/video/N/N/02073_H_A_N_C6/02073_H_A_N_C6.mp4,10.0,100,1280,720,10.0
00533_H_D_N_C1,N/N,../data/train/raw/video/N/N/00533_H_D_N_C1/00533_H_D_N_C1.mp4,10.0,100,1280,720,10.0
